GLIDE_number,Event,Country,Date,Event_Code,Country_Code,Glide_Serial,Comments
TC-2018-000168-MEX,Tropical Cyclone,Mexico,2018-10-22,TC,MEX,2018-000168,"NWS Summary: At 900 AM MDT (1500 UTC), the center of Hurricane Willa was located near latitude 19.1 North, longitude 107.2 West. Willa is moving toward the north near 7 mph (11 km/h), and this general motion is expected to continue today.  Satellite data indicate that the maximum sustained winds have increased to near 160 mph (260 km/h) with higher gusts. Willa is a category 5 hurricane"
TC-2018-000167-SLV,Tropical Cyclone,El Salvador,2018-10-06,TC,SLV,2018-000167,"On October 6, rains began falling over eastern El Salvador due to the influence of tropical depression number 14 located near the Honduran Atlantic coast. On October 7, the tropical depression was upgraded to Tropical Storm Michael, which continued moving north over the Yucatán channel toward the Gulf of Mexico. On 6 October, the national Civil Protection System declared a Green Alert for the entire country. On October 7, a Yellow Alert was declared for 29 coastal municipalities, which on October 8  increased to 34 municipalities to include three municipalities in Morazán department and two in La Union department. A Green Alert remained in place for the rest of the country.

The rains have affected the entire country. The hardest hit have been the eastern regions, specifically the cantons of El Brazo, La Canoa and El Tecomatal in the municipality of San Miguel; the cantons of San Felipe and Las Tunas in La Unión department; the cantons of Capitán Lazo and Puerto Parada in the municipality of Usulután; as well as the canton of Metalío in Sonsonate department (western El Salvador) and the cantons of San Diego and San Rafael Abajo in the municipality of La Libertad in central El Salvador. It should be noted that these floods have affected the majority of the municipalities located along the country's coast."
FL-2018-000166-CRI,Flood,Costa Rica,2018-10-12,FL,CRI,2018-000166,"On October 2, the National Meteorological Institute (IMN) warned of a low pressure system coming in out of the south-western Caribbean Sea that activated an Inter-tropical Convergence Zone over the country and over the waters of the Pacific (Meteorological Report # 2). On October 4, IMN detected two other low pressure systems (Meteorological Report # 8) - one in the Caribbean near the Nicaraguan coast and another in the Pacific in western Costa Rica - that led to even more intense rainfall as well as strong storm conditions along the Pacific coast and slightly milder conditions in other parts of the country. Rains of varying intensity fell in Pacific regions and even in the Central Valley. The greatest amount of rainfall was recorded in the Nicoya Peninsula and the Central Pacific - between 50-150 mm over a period of 24 hours.
 
Meteorological Report # 16 issued on October 5 showed the excessive moisture contributed by weather conditions on 4 and 5 October, during which time more than 300 mm of rain fell over several areas in the North Pacific and Central Pacific. The highest concentration of rain and floods were seen in the districts of Lepanto, Paquera and Puntarenas (Central), as well as in Tárcoles, Garabito, Parrita and Quepos in the Central Pacific and North Pacific coastal strip. Over a period of 24 hours, IMN reported 400 mm of accumulated rainfall in Paquera, 255 mm in Hojancha, 206 mm in Cuajiniquil, 145 mm in Sardinal, 71 mm in Liberia and Bagaces, and between 100 and 140 mm in the Central Pacific. This led to increased water levels in the Naranjo, División Saveegre and Tempisque Rivers and in lower areas of the Abangares River."
FL-2018-000165-CRI,Flood,Costa Rica,2018-10-12,FL,CRI,2018-000165,"On October 2, the National Meteorological Institute (IMN) warned of a low pressure system coming in out of the south-western Caribbean Sea that activated an Inter-tropical Convergence Zone over the country and over the waters of the Pacific (Meteorological Report # 2). On October 4, IMN detected two other low pressure systems (Meteorological Report # 8) - one in the Caribbean near the Nicaraguan coast and another in the Pacific in western Costa Rica - that led to even more intense rainfall as well as strong storm conditions along the Pacific coast and slightly milder conditions in other parts of the country. Rains of varying intensity fell in Pacific regions and even in the Central Valley. The greatest amount of rainfall was recorded in the Nicoya Peninsula and the Central Pacific - between 50-150 mm over a period of 24 hours.
 
Meteorological Report # 16 issued on October 5 showed the excessive moisture contributed by weather conditions on 4 and 5 October, during which time more than 300 mm of rain fell over several areas in the North Pacific and Central Pacific. The highest concentration of rain and floods were seen in the districts of Lepanto, Paquera and Puntarenas (Central), as well as in Tárcoles, Garabito, Parrita and Quepos in the Central Pacific and North Pacific coastal strip. Over a period of 24 hours, IMN reported 400 mm of accumulated rainfall in Paquera, 255 mm in Hojancha, 206 mm in Cuajiniquil, 145 mm in Sardinal, 71 mm in Liberia and Bagaces, and between 100 and 140 mm in the Central Pacific. This led to increased water levels in the Naranjo, División Saveegre and Tempisque Rivers and in lower areas of the Abangares River."
EQ-2018-000164-PNG,Earthquake,Papua New Guinea,2018-10-10,EQ,PNG,2018-000164,"Medium humanitarian impact, magnitude 7M tsunami generates 0.06m"
TC-2018-000163-YEM,Tropical Cyclone,Yemen,2018-10-11,TC,YEM,2018-000163,"The Very Severe Cyclonic Storm over westcentral Arabian Sea moved northwestwards with a speed of 07kmph during past six hours and lay centered at 1430 hrs IST 10th October 2018 over westcentral Arabian Sea, near latitude 14.4?N and longitude 58.7?E, about 570 km east-southeast of Salalah (Oman), 550 km eastnortheast of Socotra Islands (Yemen) and 730 km east-southeast of Al-Ghaidah (Yemen). It is very likely to intensify further and move west-northwestwards towards Yemen & South Oman Coasts during next 4 days."
TC-2018-000162-IND,Tropical Cyclone,India,2018-10-10,TC,IND,2018-000162,"GDACS - High humanitarian impact, max wind speed 176 km/h"
EP-2018-000161-SOM,Epidemic,Somalia,2018-08-01,EP,SOM,2018-000161,"One new cVDPV type 2 case was confirmed this week. Virus was isolated from a contact of child that developed paralysis on the 02 September 2018. These children are both from an inaccessible area of Lower Juba. Detailed investigations are underway to determine the best response mechanism. No type 3 cases have been reported this week.
The total number of cVDPV cases is eleven (11): five cVDPV2, five cVDPV3 and one case of a child with a coinfection of cVDPV2 and cVDPV3 virus.
A nationwide polio vaccination campaign targeting around 2.6 million children under five with bivalent Oral Polio Vaccine is (bOPV) underway this week."
EQ-2018-000160-HTI,Earthquake,Haiti,2018-10-07,EQ,HTI,2018-000160,"Red earthquake alert (Magnitude 5.9M, Depth:15.26km) in Haiti 07/10/2018 00:11 UTC, 2300000 people within 100km.
On 10/7/2018 12:11:50 AM, an earthquake occurred in Haiti potentially affecting 2300000 people within 100km. The earthquake had Magnitude 5.9M, Depth:15.26km."
OT-2018-000159-TZA,Other,Tanzania,2018-09-20,OT,TZA,2018-000159,"229 people lost their lives after the ferry as MV Nyerere capsized 20 September near the Ukara Island in Lake Victoria. The ferry was carrying over 300 people and cargo, as it travelled from Bugolora (Nansio, Ukerewe) to Ukara Island in Mwanza region."
FF-2018-000158-TUN,Flash Flood,Tunisia,2018-09-22,FF,TUN,2018-000158,"Torrential rain hit the Cap Bon Peninsula on Saturday 22 September, causing flash flooding in the city of Beni Khaled and the surrounding villages. According to the Tunisia's National Institute of Meteorology, this was the heaviest rainfall to hit the area since the institute began to keep the records in 1995. At least 6 people lost their lives and at least 6,000 households (around 30,000 individuals) have had their homes partially or completely destroyed. Clean water supply and electricity has been cut off in certain affected areas. Additionally, a significant number of farmland and livestock has perished with the floods."
OT-2018-000157-BGD,Other,Bangladesh,2018-09-19,OT,BGD,2018-000157,"After two weeks of continuous heavy raining, the rise of the water level in Padma River caused major damage to the riverbank, eventually leading to the collapse of a large river embankment. The homes of about 8,710 families (or 43,550 people) got washed away by the collapse. Additionally, many roads, bridges, culverts, health facilities, and business amenities were completely destroyed."
EQ-2018-000156-IDN,Earthquake,Indonesia,2018-09-28,EQ,IDN,2018-000156,"A powerful magnitude 7.5 earthquake in Indonesia triggered a tsunami and swept houses away in two cities Friday, the country's disaster agency said.

The earthquake struck the central Sulawesi region around 6 p.m. and was centered at a depth of 6 miles about 35 miles northeast of Donggala, the U.S. Geological Survey said. A tsunami was reported to have hit the cities of Palu and Donggala, the Indonesia disaster agency said."
OT-2018-000155-CMR,Other,Cameroon,2018-09-25,OT,CMR,2018-000155,"Since October 2016, the North West (NW) and South West (SW) regions of Cameroon have been experiencing social instability coupled with violence that has a negative impact on the socio-economic fabric of the country. In October 2017, the crisis escalated into an armed conflict, with various confrontations registered between armed groups and the security and defence forces. Since then, abductions and assassinations have been recorded, in addition to sporadic attacks on government institutions and civilians trapped in the cross fire. Population movement into Nigeria and other regions of Cameroon were noted as early as in January 2018, but as of 15 September 2018, the crisis took an unprecedented turn, with scores of people fleeing from these crisis-torn regions. Indeed, the armed groups circulated a note announcing that any entry and exit into and from these affected regions will be banned as of 25th September 2018 to ensure no campaign or elections holds in these regions. Presidential elections in Cameroon is set to hold on 7 October 2018 in an extremely tense socio-political context."
FL-2018-000154-GHA,Flood,Ghana,2018-08-31,FL,GHA,2018-000154,"Since early August 2018, communities in Northern and Upper East regions of Ghana have been affected by heavy and continuous seasonal rainfalls, which was later exacerbated by the annual opening of the Bagre dam gates (located in Burkina Faso). This caused unprecedented flooding in many local communities, destroying lives and properties. The Bagre Dam spilled on the 31st of August 2018, when the dam reached its maximum spillage level at 235m on that day. However, by the 10th of September, the dam was still spilling and water level remained at the maximum level of 235m."
TC-2018-000152-CHN,Tropical Cyclone,"China, People's Republic",2018-09-15,TC,CHN,2018-000152,"GDACS - Medium humanitarian impact, max wind speed 287 km/h"
TC-2018-000151-VNM,Tropical Cyclone,Viet Nam,2018-09-14,TC,VNM,2018-000151,"GDACS - High humanitarian impact, max wind speed 287 km/h"
EP-2018-000150-ZWE,Epidemic,Zimbabwe,2018-09-05,EP,ZWE,2018-000150,"Cholera outbreak in Zimbabwe. 
Cholera cases signalled since 05 September in Glenview area of Harare, and as of 10 September, official sources were mentioning 1,046 suspected cases with 16 deaths.
Some 2,253,747 people are at risk in the capital city, Harare, with an estimated 250,000 people in the 4 affected areas. 
Coordination meetings have been held since declaration of the outbreak on 6 September, chaired by the Director of the Civil Protection (DCP)."
TC-2018-000149-PHL,Tropical Cyclone,Philippines,2018-09-12,TC,PHL,2018-000149,"Typhoon Mangkhut is currently around 1,200km east of southern Luzon (13.8 N 136.3 E), moving west at 20kph, and with maximum sustained winds of 250kph near the centre and gustiness of up to 310kph. It has been classified as a Category 5 cyclone (Super typhoon). The typhoon is expected to maintain its strength before landfall. 

According to forecasts, the typhoon will make landfall over Santa Ana municipality in Cagayan province between the evening of 14 September and early morning of 15 September, with Category 4 winds, before making a second landfall over the Babuyan Islands, around 25km north of Luzon landmass. The typhoon will move across the Babuyan channel, on the northern coast of Luzon, sustaining its Category 4 winds for 24 hours. Mangkhut exits PAR by 08H00, 16 September 2018. 

Although the eye of the storm is not likely to traverse through Luzon landmass, the strength and the size of the typhoon (700-900km wide) is expected to cause substantial damage in communities in the provinces of Apayao, Batanes, Ilocos Norte and Cagayan, and in the Babuyan Group of Islands. Around 2 million people (almost 450,000 households) live in these areas. Storm surges of 6 to 7 metres are also expected along the northern coast and across the islands, with the typhoon expected to make landfall on a high tide (more than 1 metre). Other provinces such as Isabela, Kalinga, Abra, Mountain Province and Ilocos Sur are also expected to sustain direct wind damage from the typhoon. Heavy torrential rain is also expected over these areas, which may also trigger landslides in mountain communities and flash floods particularly near rivers and major tributaries."
VO-2018-000148-PNG,Volcano,Papua New Guinea,2018-08-25,VO,PNG,2018-000148,"On 25 August, Manam Volcano erupted, sending ash over 15km into the air. The volcano is located on Manam island, which is located 13 km off the northern coast of the country, close to Madang province. The eruption of the volcano has forced 2,000 people to be evacuated from their homes. The Government deployed a team to assess the current conditions and need for additional evacuations."
EQ-2018-000147-PHL,Earthquake,Philippines,2018-09-08,EQ,PHL,2018-000147,An earthquake measuring 6.1 magnitude on the Richter Scale struck in the Philippines potentially affecting 3660000 people within 100km.
OT-2018-000146-ARM,Other,Armenia,2018-08-18,OT,ARM,2018-000146,"On 17 and 18 August 2018, a hailstorm damaged almost all yield capacity in Shirak region of Armenia."
EP-2018-000145-DOM,Epidemic,Dominican Republic,2018-09-07,EP,DOM,2018-000145,"At the beginning of July 2018 (epidemiological week 27), the Ministry of Public Health and Epidemiology reported that the Los Pinos Health Centre (La Descubierta, Independencia) was seeing an increase in the number of patients presenting with vomiting and diarrhea from surrounding communities, which were suspected to be cases of cholera.  Reports of suspected cases of cholera continued in neighboring communities, including Los Bolos, Guayabal and La Descubierta (chief of the municipality). As of 11 August 2018, 65 suspected cases of cholera have been reported (3 confirmed) in Angel Feliz (26), Los Pinos de Edén (34), La Descubierta urban area (6) and Los Bolos (2).
 
There are multiple factors that contribute to an increased risk of acute diarrheal diseases and the spread of cholera in the affected region, including poor hygiene practices, the use of unsafe water sources for drinking and food preparation, lack of access to health services due to the affected area's remote geographical location (it can take up to eight hours to reach the affected area), community resistance to treatment and lack of financial resources for families to access health care.
In addition, the communities in the upper area of the Sierra de Bahoruco's geographic location, which is adjacent to Haiti in the northern section of the Dominican Republic, has been affected by recurrent outbreaks of diarrheal diseases, thus putting the surrounding area at constant risk. The area's high vulnerability can be attributed to the regular passage of large numbers of people between Haiti and the Dominican Republic; this highly mobile population often does not seek care in the Dominican Republic before returning to Haiti (due to cultural and family ties), which could mean that the number of cases in the in the affected area exceeds current estimates."
FL-2018-000144-PRK,Flood,"Korea, Democratic People's Republic",2018-08-24,FL,PRK,2018-000144,"As of 2 September, heavy flooding is reported in North and South Hwanghae provinces. In both provinces there are 76 reported deaths, and 75 people missing. Over 9,000 people are displaced and nearly 1,800 residential buildings destroyed or damaged."
EQ-2018-000143-JPN,Earthquake,Japan,2018-09-06,EQ,JPN,2018-000143,"A powerful earthquake has hit Japan's northern island of Hokkaido, causing a landslide that has engulfed houses.
Several people were reported injured and trapped in the rubble, while power in several areas was cut off, but there were no early reports of deaths. The quake, which struck just after 3am on Thursday, had a magnitude of 6.7, the Japan Meteorological Agency said."
EP-2018-000142-CMR,Epidemic,Cameroon,2018-07-15,EP,CMR,2018-000142,"The cholera outbreak in Cameroon, officially declared by the Ministry of Health on 15 July 2018, is steadily declining, after peaking in week 29 with 42 cases. In week 32 (week ending 12 August 2018), four new suspected cholera cases were reported, compared to 21 cases reported in week 31 and 40 cases in week 30. Three of the new cases reported during the reporting week came from Central Region and one case from North Region."
DR-2018-000141-MDG,Drought,Madagascar,2018-08-30,DR,MDG,2018-000141,"Severe drought conditions during southern Madagascar's rainy season from November 2017 to April 2018 has led to nearly dry dams in many parts of the south. This dryness has affected livestock's access to water and pastureland, which has led to poor livestock body conditions as many are subsisting on burnt cactus leaves in the absence of viable pastureland. This has similarly affected crop development, with many areas experiencing failed or near failed harvests. Only Ambovombe commune received favorably heavy rains in July that allowed some farmers to plant new maize and potato crops."
FL-2018-000140-MLI,Flood,Mali,2018-08-07,FL,MLI,2018-000140,"Since 7th of August 2018, Mali has been affected by heavy rainfall, which further increased between the 17-19 of August, causing great damage in localities of six out of the ten regions of the country.
These rains are forecasted to continue across the country until November 2018, heightening probability of increased flooding."
EQ-2018-000139-IRN,Earthquake,"Iran, Islamic Republic",2018-08-25,EQ,IRN,2018-000139,"Medium humanitarian impact, magnitude 6M"
TC-2018-000138-PRK,Tropical Cyclone,"Korea, Democratic People's Republic",2018-08-23,TC,PRK,2018-000138,"Tropical storm Soulik developed into a typhoon on Friday 18 August 2018. DPR Korea could potentially see significant impacts from Typhoon Soulik from Thursday into Friday 23-24th of August. Even though in the course of weakening, Soulik could still remain a dangerous typhoon and bring life-threatening conditions. Heavy rainfall spreading across the Korean Peninsula may lead to flash flooding and mudslides across the rugged terrain."
EQ-2018-000137-VEN,Earthquake,Venezuela,2018-08-21,EQ,VEN,2018-000137,"Medium humanitarian impact, magnitude 7.3M tsunami generates 0.06m"
TC-2018-000136-LAO,Tropical Cyclone,Lao People's Democratic Republic,2018-08-14,TC,LAO,2018-000136,"Typhoon Bebinca led to flooding in northern Laos, with impacts also felt in the south of the country. Heavy and consistent rain since 13 August has led to rising river levels in Attapeu province, where the hydro-electric dam collapsed less than a month ago. This is causing flooding and restricting access to Sanamxay, hampering the delivery of aid to areas affected by the dam collapse. Authorities are closely monitoring the level of the Mekong River and its tributaries."
TC-2018-000136-THA,Tropical Cyclone,Thailand,2018-08-14,TC,THA,2018-000136,"From 17-19 August, Typhoon Bebinca caused flash floods and landslides in six Northern provinces of Thailand - Nan, Chiangrai, Lampang, Payao, Chiang Mai and Mae Hong Son. More than 9,000 households have been affected."
TC-2018-000136-VNM,Tropical Cyclone,Viet Nam,2018-08-14,TC,VNM,2018-000136,"In Viet Nam, Typhoon Bebinca caused flooding in the north of the country, resulting in the deaths of 10 people, as of 18 August. In Ngh? An Province alone, six people are known to have died. The cyclone affected S?n La, Yên Bái, Thanh Hóa and Ngh? An provinces, where roads have been closed due to landslides."
EQ-2018-000135-IDN,Earthquake,Indonesia,2018-08-19,EQ,IDN,2018-000135,"Medium humanitarian impact, magnitude 6.3M tsunami generates 0.05m"
FL-2018-000134-IND,Flood,India,2018-08-15,FL,IND,2018-000134,"The situation in Kerala state of India is worsened on Aug 10,2018 as all the five sluice gates of the Idukki dam were opened an shutters of over two dozen other dams were lifted, submerging vast areas in the state which has been reeling under unprecedented downpour in decades. The death toll in the last 48 hours has touched 29 in the past 24 hours. Eight districts  namely Wayanad, Idukki, Alapuzzha, Kottayam, Ernakulam, Palakkad, Malappuram and Kozhikode districts are on red alert. As many as 439 relief camps have been opened sheltering more than 50,00 people in the state.
( Source: https://timesofindia.indiatimes.com/india/kerala-flood-toll-rises-to-29-red-alert-in-8-districts/articleshow/65360414.cms)"
FR-2018-000133-USA,Fire,United States,2018-08-04,FR,USA,2018-000133,"On 6 August 2018, the U.S. Federal Emergency Management Agency (FEMA) reported a fire spread rapidly and burned 267,000 acres of land over the weekend in Mendocino County, California, United States, and threatened 9,000 homes and 300 commercial properties as well as destroyed 67 homes. Currently, 21,000 people were under mandatory evacuation."
EP-2018-000132-NER,Epidemic,Niger,2018-07-13,EP,NER,2018-000132,"On 13 July 2017, Niger MoH declared a cholera outbreak in the department of Madarounfa (region of Maradi) in Niger. Affected health areas include Dan- Issa, Gabi, Harounawa, Madeini, Maraka, Madarounfa, Rourouka and N'Yelwa ."
FL-2018-000130-THA,Flood,Thailand,2018-08-01,FL,THA,2018-000130,"Nine provinces in the northeastern region of Thailand are still affected by flooding as a result of heavy rain and overflow from the Mekong River. Hardest hit is Nakhon Phanom, where water from the Mekong River has inundated parts of 12 district, affecting 12,256 households with 26,898 people."
EP-2018-000129-COD,Epidemic,Congo Democratic Republic,2018-08-04,EP,COD,2018-000129,"As of 3 August 2018, a total of 43 Ebola virus disease cases (13 confirmed and 30 probable), including 33 deaths, have been reported. An additional 33 suspected cases are currently pending laboratory testing to confirm or exclude Ebola virus disease. Three healthcare workers have been affected, of whom two have died."
FL-2018-000128-SDN,Flood,Sudan,2018-07-23,FL,SDN,2018-000128,"From 23 to 30 July, flash floods have affected West Kordofan, Kassala, Elgzeeira, Sennar and Northern State provinces of Sudan, causing 17 deaths, over 60 injuries and  affecting a total of 45,705 people (9,141 households).
In addition to the above, the loss of cattle as well as destruction of homes was equally registered."
EQ-2018-000127-IDN,Earthquake,Indonesia,2018-08-05,EQ,IDN,2018-000127,"Medium humanitarian impact, magnitude 6.9M tsunami generates 0.1m"
HT-2018-000126-PRK,Heat Wave,"Korea, Democratic People's Republic",2018-08-04,HT,PRK,2018-000126,"The current heatwave, ongoing since mid-July, is seriously affecting agriculture and people's health in South Phyongan and South Hamgyong Provinces. The heatwave has brought temperatures of over 39? across the country as of 3rd August. It is anticipated that this weather pattern will continue until mid-August and will significantly reduce the agricultural yield of the season. This is expected to cause serious consequences for the local food security and livelihoods."
FL-2018-000125-KHM,Flood,Cambodia,2018-07-23,FL,KHM,2018-000125,"Stung Treng Province, the North-East province of Cambodia has been affected by the hydroelectric dam collapsed in Lao PDR on 23 July 2018. Total of two Districts (Siem Pang District and Stung Treng Town) were directly affected by the flash flooding, while three more districts (Siem Bok, Sesan, and Thalaborivat) were inundated by the flood water from Siem Pang and Stung Treng Town. In the aftermath of the flood, 1,662 families (5,817 people) from the two districts have been evacuated to the safe area."
FL-2018-000124-MMR,Flood,Myanmar,2018-06-17,FL,MMR,2018-000124,"Heavy monsoon rains in recent weeks have led to floods and landslides in 10 states and regions of Myanmar. As of 17 June, 8,000 houses have been damaged or inundated, 23,000 people have been temporarily evacuated, 12,000 acres of farmland have been damaged, and 11 people have died due to floods and landslides. Government authorities, the Myanmar Red Cross Society (MRCS), and local organizations are providing assistance to flood-affected people, including food and other relief items."
WF-2018-000123-GRC,Wild fire,Greece,2018-07-22,WF,GRC,2018-000123,Wild fires in the Rafina and Kineta localities of Greece have left at least 90 people dead and destroyed hundreds of houses.
EQ-2018-000122-IDN,Earthquake,Indonesia,2018-07-28,EQ,IDN,2018-000122,"Medium humanitarian impact, magnitude 6.4M tsunami generates 0.04m"
FL-2018-000121-VNM,Flood,Viet Nam,2018-07-18,FL,VNM,2018-000121,"Flooding in northern and central Viet Nam has reportedly resulted in the deaths of 20 people following the impact of tropical storm Son Tinh. More than 100 houses have reportedly been destroyed and 4,000 houses have been flooded. Over 82,000 hectares of agricultural land has been destroyed and around 17,000 livestock killed. There is an ongoing risk of landslides in northern Viet Nam and in the areas close to the border with Lao PDR, with higher than average rainfall forecast for northern Lao PDR."
FL-2018-000120-NGA,Flood,Nigeria,2018-07-13,FL,NGA,2018-000120,"As the rainy season is reaching its peak in Nigeria, different parts of the country have witnessed torrential rain falls in the last one month resulting in widespread flooding. On 13th?of July 2018, seven states of Katsina in the North West, Niger and Abuja FCT in the North Central, Yobe and Bauchi in the North East, Ogun and Ondo States in the South West have reported devastating floods affecting communities in their states. 
As of ECHO Daily Flash 18 September: Nigeria - Flash Floods (DG ECHO, NEMA, media)

- Following recent large-scale floods, the Nigeria Emergency Management Agency (NEMA) declared a national disaster for the states of Kogi, Niger, Anambra, and Delta States. A Situation Room in Abuja and five territorial Emergency Operations Centers have been activated.
- The Nigerian Navy is conducting search and rescue operations in Kogi and Niger states in localities affected by the flood and rising water levels.
- The humanitarian community stands ready to help."
EP-2018-000119-TZA,Epidemic,Tanzania,2018-01-01,EP,TZA,2018-000119,"Cholera cases in 2018 increased and nearly doubled during the period of January - July 2018 (3 128 cases), when compared to the same period in 2017 (1 535 cases)."
FF-2018-000118-LAO,Flash Flood,Lao People's Democratic Republic,2018-07-23,FF,LAO,2018-000118,"The Xepian-Xe Nam Noy hydropower dam under construction in Attapeu province in Southeast of Laos collapsed for an unknown reason on Monday 23 July.  Five billion cubic metres of water released by the dam collapse caused flash flooding in at least six nearby villages (Yai Thae, Hinlad, Mai, Thasengchan, Tha Hin and Samong). Some 7,000 people have been affected by the floods."
EP-2018-000116-KEN,Epidemic,Kenya,2018-06-08,EP,KEN,2018-000116,"On 8 June 2018, the Kenya Ministry of Health reported an outbreak of Rift Valley fever (RVF) in Wajir County in the north-east of the country ... As of 8 June 2018, a total of 10 suspected RVF cases, including five deaths (case fatality rate 50%), have been reported in Wajir County. Three case-patients have since recovered and been discharged, while one remains in admission at Wajir County Referral hospital. Eight additional blood specimens have been obtained and are being analysed at the KEMRI."
HT-2018-000115-JPN,Heat Wave,Japan,2018-07-09,HT,JPN,2018-000115,"apan recorded its highest temperature ever 23 July 2018 as the mercury hit 41.1 in Kumagaya, Saitama Prefecture, amid a deadly heat wave, the Meteorological Agency said.
Scorching weather killed 77 people and sent more than 30,000 people to hospitals across the nation from July 9 to 22 July 2018, according to the Fire and Disaster Management Agency and a Kyodo News tally."
IN-2018-000115-IND,Insect Infestation,India,2018-12-01,IN,IND,2018-000115,"In July 2018, FAW was confirmed in India in Karnataka state and since then it has been found in seven other States including in Tamil Nadu. By January of this year, it had spread to Sri Lanka, Bangladesh, Myanmar, Thailand and China’s Yunnan Province."
EQ-2018-000114-IRN,Earthquake,"Iran, Islamic Republic",2018-07-22,EQ,IRN,2018-000114,"At least 25 people were injured on Monday when a magnitude 5.8 earthquake shook southeastern Iran, just a day after another quake injured nearly 290 people in the west, Iranian media reported."
TC-2018-000113-PHL,Tropical Cyclone,Philippines,2018-07-16,TC,PHL,2018-000113,"NDRRMC has issued heavy rainfall and flood warnings for Tropical Depression 13 (Josie). It will be expected to leave Philippines Area of Responsibility by 23 July.
Habagat monsoon season is enhanced by Tropical Depression 11, 12 and 13 bringing heavy rainfall since 16 July. NDRRMC reported that 158.509 families or 728,003 persons being affected across 585 barangays. Till date, 156 houses were reported to have sustained damage with only 9 being totally damaged."
FL-2018-000112-GEO,Flood,Georgia,2018-07-05,FL,GEO,2018-000112,"After heavy raining and rapid melting of snow in the nearby glaciers, part of mountain Khokrili (Samegrelo Zemo Svaneti Region, Georgia) collapsed. The resulting landslides blocked the flow of river Nenskra, causing heavy flooding in the nearby villages. At least 323 families have been directly affected by the flooding. Many roads and bridges connecting the villages have been damaged. Additionally, a large proportion of the local farmland has been completely destroyed."
OT-2018-000111-ETH,Other,Ethiopia,2018-06-03,OT,ETH,2018-000111,"There has been a major surge in displacement between Gedeo (SNNPR) and West Guji (Oromia) zones since 3 June 2018. 818,250 people have been recently displaced."
FL-2018-000110-NIC,Flood,Nicaragua,2018-10-05,FL,NIC,2018-000110,"Two low pressure systems, one in the Atlantic and the other in the Pacific, caused intense rainfall conditions, flash floods in several communities in Costa Rica, El Salvador, Guatemala, Honduras and Nicaragua since 5 October...The rains have left 5 dead, 24,461 people affected, and 6,665 people evacuated, according to a report from the National System for Disaster Prevention, Mitigation and Response. In the infrastructure, the damages quantified so far are 5,436 houses damaged, including (5,260 flooded), (24 destroyed) and (152 partially damaged), according to the official figures. (OCHA, 13 Oct 2018)"
TC-2018-000110-CHN,Tropical Cyclone,"China, People's Republic",2018-07-11,TC,CHN,2018-000110,"GDACS - Medium humanitarian impact, max wind speed 259 km/h"
FL-2018-000109-TTO,Flood,Trinidad & Tobago,2018-10-18,FL,TTO,2018-000109,"On 18 - 19 October, Trinidad and Tobago experienced torrential rainfall, according to Government officials, Trinidad alone received a full month’s worth of rain during the two days. It was estimated 80% of the country was affected by flooding, communities, main roads and public services were affected. On 20 October, the Government of Trinidad and Tobago activated its National Emergency Operations Centre and began assessments. As of now the Government has not requested international support. (OCHA, 23 Oct 2018)"
FL-2018-000108-GTM,Flood,Guatemala,2018-10-05,FL,GTM,2018-000108,"Two low pressure systems, one in the Atlantic and the other in the Pacific, caused intense rainfall conditions, flash floods in several communities in Costa Rica, El Salvador, Guatemala, Honduras and Nicaragua since 5 October...Authorities in Guatemala reported 11 thousand people affected, 992 people in needs, 35 houses with minor damage (OCHA, 22 Oct 2018)"
FL-2018-000107-NER,Flood,Niger,2018-07-15,FL,NER,2018-000107,"At least 100 houses collapsed in Tahoua after heavy rainfalls hit the city on 15 July. There is little information available on needs although damages are said to be extensive. In 2018, at least 170,000 people are expected to be affected by floods during the rainy season, usually ranging from June to October. Similar heavy rains are also affecting the bordering state of Katsina in Nigeria, where at least 44 people were killed, 20 people have been reported missing and 500 houses have been damaged in the city of Jibia. ACAPS, 17 Jul 2018"
DR-2018-000106-SLV,Drought,El Salvador,2018-07-15,DR,SLV,2018-000106,"In El Salvador, there will be a meeting of the United Nations country team tomorrow [27 July] to develop a plan of action following the declaration by the Government of a red alert emergency due to the severe drought affecting some 77,000 corn farmers. Lack of rain led to losses of over 90,000 metric tons of corn, one of the main staple foods in the country. The eastern part of the country has reported 33 consecutive days without rain and record temperatures reaching 41°C."
FL-2018-000105-BGD,Flood,Bangladesh,2018-04-01,FL,BGD,2018-000105,"Shariatpur district which is situated along the Padma River has been severely affected by riverbank erosion caused by heavy rain and floods in some parts of India. Four unions and one municipality of Naria Upazila and Zajira Upazila have been affected. An estimated 8,710 families or approximately 43,550 people have been displaced. A rapid evacuation took place, but unfortunately some people did not manage to leave on time, resulting in a number of casualties as a result. (IFRC, 25 Sep 2018)"
EP-2018-000104-COD,Epidemic,Congo Democratic Republic,2018-02-13,EP,COD,2018-000104,"On 13 February 2018, the Ministry of Health of the Democratic Republic of the Congo (DRC) declared the ongoing outbreak of circulating vaccine- derived poliovirus in the country a national public health emergency."
EP-2018-000103-MWI,Epidemic,Malawi,2018-01-01,EP,MWI,2018-000103,"On 24 November 2017, the Malawi Ministry of Health reported an outbreak of cholera in Karonga District, located in the northern part of the country (at the shore of Lake Tanganyika) and bordering Tanzania. The initial cholera cases emerged on 20 November 2017 and presented to Iponga Health Center in Karonga District."
